,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,-81509.0,0.0001,1656.22033898,1.0,21803.0,19556,,,0.204385601986,-0.293686536955,1000,-0.312789444057,-1,0.64406779661
1,-81539.0,0.0001,1654.69491525,1.5,21803.0,19476,,,0.203988367262,-0.293751492907,1000,-0.312962663059,-1,0.64406779661
2,-79477.0,0.0001,1615.10169492,2.0,21803.0,18368,,,0.204981265153,-0.286854456519,1000,-0.304943875536,-1,0.661016949153
3,-64998.0,0.0001,1437.74576271,2.5,21410.0,14332,,,0.226628895184,-0.236367911194,1000,-0.286561334156,-1,0.71186440678
4,-46182.0,0.0001,1007.96610169,3.0,18486.0,9488,,,0.228978007762,-0.168920032288,1000,-0.251431411172,-1,0.745762711864
5,-27743.0,0.0001,646.728813559,3.5,11601.0,5712,,,0.230545454545,-0.102658030273,1000,-0.218988470393,-1,0.694915254237
6,-22561.0,0.0001,542.13559322,4.0,10031.0,4424,,,0.200567644276,-0.083124155685,1000,-0.208308803712,-1,0.64406779661
7,-11375.0,0.0003,738.542372881,1.0,8782.0,13800,3.55774896877,696.83205657,0.434295816146,-0.0412093115251,1000,-0.104164441417,-1,0.830508474576
8,-11504.0,0.0003,739.830508475,1.5,8782.0,13736,3.5079928952,700.237418591,0.433096506809,-0.0416897626015,1000,-0.105393427569,-1,0.830508474576
9,-8979.0,0.0003,694.542372881,2.0,8081.0,12436,4.03701277432,771.231903046,0.45299705208,-0.0324552351141,1000,-0.0869892184159,-1,0.830508474576
10,-2483.0,0.0003,570.610169492,2.5,9939.0,9272,6.14228899691,1027.53866549,0.510826336721,-0.00905414642894,1000,-0.0258916916834,-1,0.864406779661
11,-679.0,0.0003,442.559322034,3.0,11895.0,5836,7.3487544484,1606.64128114,0.520996441281,-0.00309187379438,1000,-0.00889723159154,-1,0.864406779661
12,-5958.0,0.0003,443.542372881,3.5,12176.0,4072,2.14803312629,2204.40372671,0.403726708075,-0.0228172221936,1000,-0.0643472807145,-1,0.830508474576
13,-9434.0,0.0003,437.93220339,4.0,10888.0,3156,,,0.305818673884,-0.0355953112158,1000,-0.111578524849,-1,0.796610169492
14,151.0,0.0005,584.559322034,1.0,7981.0,13516,6.93441636582,702.045427196,0.49578820698,0.00013303334193,1000,0.000419992769788,-1,0.864406779661
15,-38.0,0.0005,584.457627119,1.5,7981.0,13392,6.88581840267,708.801093228,0.494989371394,-0.00053123754448,1000,-0.00168032581892,-1,0.864406779661
16,756.0,0.0005,578.322033898,2.0,7921.0,12196,7.21442885772,778.1750167,0.516366065464,0.00233431222455,1000,0.00732441754455,-1,0.864406779661
17,9699.0,0.0005,406.152542373,2.5,5602.0,8684,11.8856332703,1084.35302457,0.618147448015,0.034190955629,1000,0.15430805811,-1,0.898305084746
18,4766.0,0.0005,388.915254237,3.0,6749.0,5756,11.2274368231,1585.0967509,0.594945848375,0.0163896810565,1000,0.0703925652378,-1,0.881355932203
19,-861.0,0.0005,378.0,3.5,6569.0,3724,7.34624145786,2402.72892938,0.470387243736,-0.00422610695336,1000,-0.0186527011499,-1,0.864406779661
20,-4220.0,0.0005,342.796610169,4.0,8253.0,2480,,,0.38003502627,-0.0157686198623,1000,-0.0656013427639,-1,0.847457627119
21,10132.0,0.0007,440.101694915,1.0,4376.0,13312,9.99083409716,706.977390773,0.533761075466,0.0360198899381,1000,0.172629800006,-1,0.881355932203
22,10029.0,0.0007,439.254237288,1.5,4376.0,13164,10.0046353523,715.532447466,0.535537700865,0.0356736083383,1000,0.171939886157,-1,0.881355932203
23,11614.0,0.0007,419.525423729,2.0,4594.0,11824,10.961737332,800.64150293,0.564977593933,0.0413283541099,1000,0.191172090716,-1,0.881355932203
24,15438.0,0.0007,334.101694915,2.5,5355.0,8808,14.5386766076,1060.2278658,0.657502329916,0.0550450835206,1000,0.282025751934,-1,0.898305084746
25,10491.0,0.0007,316.0,3.0,7351.0,5556,15.7068062827,1625.63275991,0.652206432311,0.0374439501646,1000,0.168772293632,-1,0.932203389831
26,-550.0,0.0007,369.271186441,3.5,10803.0,3600,7.76470588235,2392.10352941,0.483529411765,-0.00235960720543,1000,-0.00764417439904,-1,0.864406779661
27,-7390.0,0.0007,409.813559322,4.0,13781.0,2860,,,0.330343796712,-0.0270974090416,1000,-0.0699522699215,-1,0.796610169492
28,9557.0,0.0009,457.355932203,1.0,5774.0,13712,9.66498665876,682.936258524,0.532167210199,0.0345069820007,1000,0.155717141699,-1,0.847457627119
29,9449.0,0.0009,457.627118644,1.5,5774.0,13584,9.67524693206,689.513020054,0.533672553128,0.0341187383518,1000,0.154165296815,-1,0.847457627119
30,15236.0,0.0009,364.711864407,2.0,5575.0,11776,12.2101073036,801.172031845,0.586708203531,0.0546918851746,1000,0.263792214791,-1,0.898305084746
31,19018.0,0.0009,282.728813559,2.5,5981.0,8788,16.2114845938,1061.50186741,0.678338001867,0.0685290670713,1000,0.347730245897,-1,0.915254237288
32,10516.0,0.0009,315.288135593,3.0,8127.0,5556,15.650710546,1601.70306657,0.661181750187,0.038027264903,1000,0.158009670869,-1,0.932203389831
33,-2625.0,0.0009,394.220338983,3.5,11850.0,3600,5.27090694935,2302.78091873,0.458186101296,-0.00971451407386,1000,-0.0287996475439,-1,0.881355932203
34,-7113.0,0.0009,399.898305085,4.0,11958.0,2792,,,0.328220858896,-0.0260390333968,1000,-0.0770135099301,-1,0.813559322034
35,-81778.0,0.0001,1670.40677966,1.0,21770.0,19452,,,0.208194675541,-0.294864680076,2000,-0.312751593823,-1,0.661016949153
36,-81953.0,0.0001,1669.89830508,1.5,21770.0,19352,,,0.206355843613,-0.295503819678,2000,-0.313588382255,-1,0.661016949153
37,-76897.0,0.0001,1576.16949153,2.0,21735.0,17348,,,0.210833527901,-0.27796994272,2000,-0.298712711091,-1,0.661016949153
38,-58867.0,0.0001,1309.25423729,2.5,22321.0,12528,,,0.233420026008,-0.214685866228,2000,-0.26474077677,-1,0.728813559322
39,-36305.0,0.0001,853.711864407,3.0,16536.0,7920,,,0.240519480519,-0.133199476453,2000,-0.227257791365,-1,0.779661016949
40,-19532.0,0.0001,512.406779661,3.5,8974.0,4688,,,0.236865538736,-0.0723000139762,2000,-0.195037253677,-1,0.677966101695
41,-23947.0,0.0001,562.93220339,4.0,13143.0,4248,,,0.154455445545,-0.0875782658865,2000,-0.199097007929,-1,0.661016949153
42,-10737.0,0.0003,737.576271186,1.0,8807.0,13608,3.72086072923,706.645845786,0.446802151823,-0.0389071870834,2000,-0.0980597139728,-1,0.847457627119
43,-10905.0,0.0003,736.86440678,1.5,8807.0,13520,3.64771359807,711.63267148,0.446750902527,-0.0394923498198,2000,-0.0996290478007,-1,0.847457627119
44,-6861.0,0.0003,660.406779661,2.0,7950.0,11624,4.65789473684,821.420701754,0.473333333333,-0.0249661916788,2000,-0.0700387477168,-1,0.830508474576
45,1318.0,0.0003,504.627118644,2.5,9892.0,7888,8.14196242171,1204.92536534,0.554801670146,0.00455322548708,2000,0.0142290771058,-1,0.864406779661
46,-544.0,0.0003,439.949152542,3.0,11331.0,4896,7.45089666951,1872.12553373,0.514090520922,-0.00269405349363,2000,-0.00805956951287,-1,0.881355932203
47,-7633.0,0.0003,464.033898305,3.5,12404.0,3572,,,0.345926800472,-0.0287665437134,2000,-0.0797509957787,-1,0.847457627119
48,-11562.0,0.0003,454.474576271,4.0,11713.0,2808,,,0.234756097561,-0.0431155803173,2000,-0.123869095727,-1,0.813559322034
49,1469.0,0.0005,572.881355932,1.0,7907.0,13104,7.37348649488,723.285625582,0.513505122633,0.00489457402621,2000,0.0156763958838,-1,0.864406779661
50,1427.0,0.0005,572.881355932,1.5,7907.0,13032,7.36809241336,727.677177646,0.514829847018,0.00475283000619,2000,0.015245732074,-1,0.864406779661
51,559.0,0.0005,580.0,2.0,8526.0,11444,7.27013542409,831.698859587,0.535281539558,0.00166826191488,2000,0.00511269830578,-1,0.881355932203
